participant,Spearman_r,p,pspin,p_fdr
BEST-MUC-122,0.27882468963923074,0.021307733276836806,0.006999999999999999,0.26068989818256555
BEST-MUC-123,-0.05544418643606726,0.653378503290448,0.3325,0.9060166725416171
BEST-MUC-125,-0.17015102944842678,0.1653725280361624,0.07450000000000001,0.5788038481265684
BEST-MUC-126,0.006338660432773528,0.9590853889032147,0.47850000000000004,0.9833047169058211
BEST-MUC-127,0.09034500351772391,0.46374627581911687,0.2675,0.823176906732149
BEST-MUC-128,-0.01603757458894507,0.8967201849032209,0.4525,0.9772153866415604
BEST-MUC-129,-0.20917579428152644,0.08691093629045749,0.042499999999999996,0.461445779460846
BEST-MUC-130,0.05742979090898426,0.6418008561314571,0.3415,0.9060166725416171
BEST-MUC-131,-0.11867805195819353,0.3350898125665984,0.159,0.7314326016238654
BEST-MUC-132,-0.012906429073960559,0.9168040878699499,0.4515,0.9772153866415604
BEST-MUC-133,0.12005270120867453,0.32948162236987943,0.1765,0.7270083624031035
BEST-MUC-134,0.2966187604926793,0.01404214481148907,0.0085,0.23339445682272733
BEST-MUC-135,-0.05246577972669174,0.6708981865182811,0.3375,0.9079488790880739
BEST-MUC-136,0.1583901414165337,0.19702831635704313,0.121,0.5978128468829478
BEST-MUC-137,0.12432938776572657,0.31241643944137587,0.1505,0.7270083624031035
BEST-MUC-138,0.07636940280450036,0.5359245222623277,0.28800000000000003,0.8260748726835396
BEST-MUC-139,-0.08003513413911635,0.5164724432632724,0.262,0.8255425667908999
BEST-MUC-140,-0.05284762674071424,0.6686420311967357,0.349,0.9079488790880739
BEST-MUC-141,0.24613858523890458,0.04303972020486419,0.0345,0.36404430006614297
BEST-MUC-142,0.02734024620401112,0.8248472374263965,0.41300000000000003,0.9609476214439474
BEST-MUC-144,0.10386238781412047,0.39929821634002716,0.175,0.8105753791702551
BEST-MUC-145,-0.18588312642615384,0.1290966388103,0.092,0.5138552485978608
BEST-MUC-146,-0.08866487665602489,0.47213363012544673,0.254,0.823176906732149
BEST-MUC-147,-0.2777555179999678,0.021831173739426668,0.0115,0.26068989818256555
BEST-MUC-148,0.16518701826613424,0.17824402998813696,0.1185,0.5896236813016472
BEST-MUC-149,0.13670123102005563,0.2663119496296729,0.1305,0.6674237749978222
BEST-MUC-150,-0.046050749891113706,0.7092215650795142,0.394,0.928851469104138
BEST-MUC-151,-0.16098670111188673,0.18969190393710533,0.092,0.5924224076804983
BEST-MUC-152,-0.02947858948253713,0.8113911636771709,0.4215,0.9576302687585215
BEST-MUC-154,0.001756496264503508,0.9886577301514614,0.475,0.993552075350231
